24A,Bucksport-Wonsqueak complex,5.3,"1,014.90",1.00%
25A,"Wonsqueak-Colton-Rumney complex, 0 to 15 percent slopes",4.6,"1,309.80",1.30%
26A,Wonsqueak-Rumney-Bucksport complex,4.6,"3,500.80",3.50%
113A,Ondawa-Rumney complex,5.4,30.7,0.00%
363A,"Adams loamy sand, 0 to 3 percent slopes",5,47.2,0.00%
363B,"Adams loamy sand, 3 to 15 percent slopes",5,173.6,0.20%
365A,Naumburg-Croghan complex,4.7,521.8,0.50%
367A,Searsport-Borosaprists-Naumburg complex,5.7,200.8,0.20%
375A,"Colton-Adams complex, nearly level",5.2,33.2,0.00%
375C,"Colton-Adams complex, rolling",5.2,180.6,0.20%
375D,"Colton-Adams complex, hilly",5.2,138.3,0.10%
650C,"Monadnock-Adams-Colton complex, rolling, bouldery",4.9,"5,305.10",5.40%
650D,"Monadnock-Adams-Colton complex, hilly, bouldery",4.9,617.3,0.60%
651C,"Monadnock-Tunbridge-Sabattis complex, rolling, very bouldery",4.9,420.4,0.40%
651D,"Monadnock-Tunbridge complex, hilly, very bouldery",4.9,292.7,0.30%
653C,"Monadnock fine sandy loam, 3 to 15 percent slopes, very bouldery",4.9,"1,374.30",1.40%
653D,"Monadnock fine sandy loam, 15 to 35 percent slopes, very bouldery",4.9,187.7,0.20%
654C,"Monadnock-Sabattis complex, rolling, very bouldery",4.9,"2,472.60",2.50%
707C,"Adirondack-Becket-Hermon complex, rolling, very bouldery",4.7,742.2,0.80%
708B,"Adirondack-Sabattis-Tughill complex, 0 to 8 percent slopes, very bouldery",4.7,"2,662.40",2.70%
721C,"Becket-Tunbridge-Skerry complex, 3 to 15 percent slopes, rocky, very bouldery",4.5,"5,679.60",5.70%
721D,"Becket-Tunbridge complex, 15 to 35 percent slopes, rocky, very bouldery",4.5,"4,570.50",4.60%
721F,"Becket-Tunbridge complex, 35 to 60 percent slopes, rocky, very bouldery",4.5,189.2,0.20%
723C,"Becket fine sandy loam, 3 to 15 percent slopes, very bouldery",4.5,774.1,0.80%
723D,"Becket fine sandy loam, 15 to 35 percent slopes, very bouldery",4.5,191.4,0.20%
725B,"Skerry-Becket complex, 3 to 15 percent slopes, very bouldery",4.7,"2,747.80",2.80%
727B,"Skerry-Adirondack complex, 0 to 8 percent slopes, very bouldery",5,"5,954.90",6.00%
831C,"Tunbridge-Lyman complex, 3 to 15 percent slopes, very rocky",4.7,"1,158.70",1.20%
831D,"Tunbridge-Lyman complex, 15 to 35 percent slopes, very rocky",4.7,"3,362.70",3.40%
831F,"Tunbridge-Lyman complex, 35 to 60 percent slopes, very rocky",4.7,628.7,0.60%
833C,"Tunbridge-Adirondack-Lyman complex, rolling, very bouldery",4.7,"3,843.90",3.90%
835C,"Tunbridge-Borosaprists-Ricker complex, rolling, very rocky",4.7,745,0.80%
861C,"Lyman-Ricker complex, 3 to 15 percent slopes, very rocky",5,151.6,0.20%
861D,"Lyman-Ricker complex, 15 to 35 percent slopes, very rocky",5,287,0.30%
861F,"Lyman-Ricker complex, 35 to 60 percent slopes, very rocky",5,462.1,0.50%
891F,"Rock outcrop-Ricker-Lyman complex, 35 to 60 percent slopes, very bouldery",,369.8,0.40%
931C,"Mundalite-Rawsonville-Worden complex, 3 to 15 percent slopes, very bouldery",4.8,"4,133.40",4.20%
931D,"Mundalite-Rawsonville complex, 15 to 35 percent slopes, very bouldery",4.8,"6,372.00",6.40%
931F,"Mundalite-Rawsonville complex, 35 to 60 percent slopes, very bouldery",4.8,"1,701.50",1.70%
933C,"Mundalite-Worden complex, 3 to 15 percent slopes, very bouldery",4.8,"1,227.50",1.20%
933D,"Mundalite-Worden complex, 15 to 35 percent slopes, very bouldery",4.8,"1,723.30",1.70%
935C,"Worden-Wilmington complex, 0 to 15 percent slopes, very bouldery",4.7,"1,863.20",1.90%
937B,"Wilmington-Tughill complex, 0 to 8 percent slopes, very bouldery",4.9,565.1,0.60%
941C,"Rawsonville-Hogback complex, 3 to 15 percent slopes, very rocky",4.4,"2,131.10",2.20%
941D,"Rawsonville-Hogback complex, 15 to 35 percent slopes, very rocky",4.4,"6,466.80",6.50%
941F,"Rawsonville-Hogback complex, 35 to 60 percent slopes, very rocky",4.4,"2,292.40",2.30%
942C,"Rawsonville-Wilmington-Hogback complex, 0 to 25 percent slopes, very rocky",4.4,"1,694.20",1.70%
943C,"Rawsonville-Borosaprists-Ricker complex, 0 to 25 percent slopes, very rocky",4.4,35.9,0.00%
945C,"Hogback-Ricker complex, 3 to 15 percent slopes, very rocky",5.2,549.3,0.60%
945D,"Hogback-Ricker complex, 15 to 35 percent slopes, very rocky",5.2,"1,509.00",1.50%
945F,"Hogback-Ricker complex, 35 to 60 percent slopes, very rocky",5.2,"4,467.70",4.50%
949F,"Rock outcrop-Ricker-Hogback complex, 35 to 60 percent slopes, very bouldery",,197.3,0.20%
991D,"Glebe-Skylight complex, 15 to 35 percent slopes, very rocky",4.5,2.3,0.00%
991F,"Glebe-Skylight complex, 35 to 70 percent slopes, very rocky",4.5,101.2,0.10%
997C,"Ricker-Skylight-Rock outcrop complex, 3 to 15 percent slopes, very bouldery",4,668.5,0.70%
997D,"Ricker-Skylight-Rock outcrop complex, 15 to 35 percent slopes, very bouldery",4,"1,099.60",1.10%
997F,"Ricker-Skylight-Rock outcrop complex, 35 to 70 percent slopes, very bouldery",4,"2,950.10",3.00%
W,Water,,"4,718.80",4.80%
