"SW-SM"|"No "|"35124874"|"66588056"
"SM"|"Yes"|"35124875"|"66588057"
"SP-SM"|"No "|"35124875"|"66588058"
"SW-SM"|"No "|"35124875"|"66588059"
"PT"|"Yes"|"35124876"|"66588060"
"SM"|"Yes"|"35124877"|"66588061"
"SP-SM"|"No "|"35124877"|"66588062"
"PT"|"Yes"|"35124878"|"66588063"
"SM"|"Yes"|"35124879"|"66588064"
"SP-SM"|"No "|"35124879"|"66588065"
"GM"|"No "|"35124880"|"66588066"
"GP-GM"|"No "|"35124880"|"66588067"
"SM"|"No "|"35124880"|"66588068"
"SP-SM"|"Yes"|"35124880"|"66588069"
"PT"|"Yes"|"35124881"|"66588070"
"PT"|"Yes"|"35124882"|"66588071"
"CL"|"No "|"35124883"|"66588072"
"ML"|"No "|"35124883"|"66588073"
"SC"|"No "|"35124883"|"66588074"
"SM"|"Yes"|"35124883"|"66588075"
"PT"|"Yes"|"35124884"|"66588076"
"SM"|"Yes"|"35124885"|"66588077"
"SP-SM"|"No "|"35124885"|"66588078"
"SW-SM"|"No "|"35124885"|"66588079"
"SM"|"Yes"|"35124886"|"66588080"
"SP-SM"|"No "|"35124886"|"66588081"
"SW-SM"|"No "|"35124886"|"66588082"
"SM"|"Yes"|"35124887"|"66588083"
"SP-SM"|"No "|"35124887"|"66588084"
"SW-SM"|"No "|"35124887"|"66588085"
"SM"|"Yes"|"35124888"|"66588086"
"SP-SM"|"No "|"35124888"|"66588087"
"SW-SM"|"No "|"35124888"|"66588088"
"GM"|"No "|"35124889"|"66588089"
"GP-GM"|"No "|"35124889"|"66588090"
"SM"|"Yes"|"35124889"|"66588091"
"SP-SM"|"No "|"35124889"|"66588092"
"GM"|"No "|"35124890"|"66588093"
"GW-GM"|"No "|"35124890"|"66588094"
"SM"|"Yes"|"35124890"|"66588095"
"GM"|"No "|"35124891"|"66588096"
"GW"|"No "|"35124891"|"66588097"
"SP-SM"|"No "|"35124891"|"66588098"
"SP"|"Yes"|"35124891"|"66588099"
"GP"|"Yes"|"35124892"|"66588100"
"GW"|"No "|"35124892"|"66588101"
"SP"|"No "|"35124892"|"66588102"
"SW"|"No "|"35124892"|"66588103"
"PT"|"Yes"|"35124893"|"66588104"
"SM"|"Yes"|"35124894"|"66588105"
"SP-SM"|"No "|"35124894"|"66588106"
"SM"|"Yes"|"35124895"|"66588107"
"SP-SM"|"No "|"35124895"|"66588108"
"SM"|"Yes"|"35124896"|"66588109"
"SP-SM"|"No "|"35124896"|"66588110"
"SM"|"No "|"35124897"|"66588111"
"SP-SM"|"Yes"|"35124897"|"66588112"
"SW-SM"|"No "|"35124897"|"66588113"
"SM"|"No "|"35124898"|"66588114"
"SP-SM"|"Yes"|"35124898"|"66588115"
"SW-SM"|"No "|"35124898"|"66588116"
"SM"|"Yes"|"35124899"|"66588117"
"SP-SM"|"No "|"35124899"|"66588118"
"GM"|"No "|"35124899"|"66588119"
"GP-GM"|"No "|"35124899"|"66588120"
"GM"|"No "|"35124900"|"66588121"
"GW-GM"|"No "|"35124900"|"66588122"
"SM"|"Yes"|"35124900"|"66588123"
"GM"|"No "|"35124901"|"66588124"
"GW"|"No "|"35124901"|"66588125"
"SP-SM"|"No "|"35124901"|"66588126"
"SP"|"Yes"|"35124901"|"66588127"
"GP"|"Yes"|"35124902"|"66588128"
"GW"|"No "|"35124902"|"66588129"
"SP"|"No "|"35124902"|"66588130"
"SW"|"No "|"35124902"|"66588131"
"SM"|"Yes"|"35124903"|"66588132"
"SP-SM"|"No "|"35124903"|"66588133"
"SM"|"Yes"|"35124904"|"66588134"
"SP-SM"|"No "|"35124904"|"66588135"
"SM"|"No "|"35124905"|"66588136"
"SP-SM"|"Yes"|"35124905"|"66588137"
"SW-SM"|"No "|"35124905"|"66588138"
"SM"|"No "|"35124906"|"66588139"
"SP-SM"|"Yes"|"35124906"|"66588140"
"SW-SM"|"No "|"35124906"|"66588141"
"PT"|"Yes"|"35124907"|"66588142"
"SM"|"Yes"|"35124908"|"66588143"
"SP-SM"|"No "|"35124908"|"66588144"
"GP"|"Yes"|"35124909"|"66588145"
