0.1|1.6|3|||||600|1800|3000|"Nonflat"|"Subangular"||"12297910"|"2371501"
0.1|2.4|3|3|6|20|"Gneiss fragments"|600|762|3000|"Nonflat"|"Subrounded"||"12297911"|"2371502"
0.1|2.4|3|3|6|20|"Gneiss fragments"|600|762|3000|"Nonflat"|"Subrounded"||"12297912"|"2371503"
0.1|2.4|3|3|6|20|"Gneiss fragments"|600|762|3000|"Nonflat"|"Subrounded"||"12297913"|"2371504"
0.1|2.4|3|3|6|20|"Gneiss fragments"|600|762|3000|"Nonflat"|"Subrounded"||"12297914"|"2371505"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297514"|"2371406"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297515"|"2371407"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297584"|"2371418"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297585"|"2371419"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297594"|"2371420"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297595"|"2371421"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297607"|"2371422"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297608"|"2371423"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297620"|"2371424"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297621"|"2371425"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297622"|"2371426"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297631"|"2371427"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297633"|"2371428"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297634"|"2371429"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297650"|"2371430"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297651"|"2371431"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297653"|"2371432"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297654"|"2371433"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297665"|"2371434"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297666"|"2371435"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297674"|"2371436"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297675"|"2371437"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297680"|"2371438"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297681"|"2371439"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297682"|"2371440"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297689"|"2371441"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297690"|"2371442"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297698"|"2371443"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297699"|"2371444"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297707"|"2371445"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297708"|"2371446"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297716"|"2371447"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297717"|"2371448"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297724"|"2371449"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297725"|"2371450"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297732"|"2371451"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297733"|"2371452"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297742"|"2371453"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297743"|"2371454"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297758"|"2371455"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"12297759"|"2371456"
