"H2"||"H"||2||15|||25|||||0|0|1|0|1|10|65|85|90|35|75|75|20|45|50|2|25|30|44|66.9|100||4.7|||13.6|||16.7|||20.1|||11.8||0|23.1|49|||||||0|10|15||||0.5|1.25|2||||1.15|1.3|1.45|||||1.37|||42|92|705|0.05|0.09|0.12|||||14.3|||6|||41||0|1.5|2.9|0|5|10|0|1|2|0|0|0|".15"|".24"|0|0|0|0|0|0|0|0|0|0|0|0||||0.2|5.3|9.4||||3.5|5.2|6|||||||||||||||||||||||||||||||||"12297317"|"35124832"
"H3"||"H"||3||25|||69|||||0|0|1|0|5|15|55|55|90|35|40|75|15|25|50|2|3|25|70|96.5|100||0.7|||13.2|||37.4|||38|||7.2||0|1.5|29|||||||0|2|15||||0|0.25|0.5||||1.25|1.4|1.55|||||1.52|||42|141|705|0.02|0.04|0.05||6.2|||3.8|||0.8|||24||0|1.5|2.9|0|7|14|0|0|0|0|0|0|".02"|".05"|0|0|0|0|0|0|0|0|0|0|0|0||||0|0.6|5.8||||3.5|5.4|6|||||||||||||||||||||||||||||||||"12297317"|"35124833"
"H4"||"H"||4||69|||183|||||0|0|1|0|5|25|40|45|75|20|30|50|10|15|30|0|2|15|70|96.5|100||0.7|||13.2|||37.4|||38|||7.2||0|1.5|29|||||||0|2|15||||0|0.25|0.5||||1.45|1.55|1.65|||||1.73|||141|200|705|0.01|0.02|0.02||4.8|||3|||0.7|||16||0|1.5|2.9|0|7|14|0|0|0|0|0|0|".02"|".05"|0|0|0|0|0|0|0|0|0|0|0|0|0.1|2.3|9.9|||||||4.5|5.6|6.5|||||||||||||||||||||||||||||||||"12297317"|"35124834"
"2C"||"C"||||99|||183|||||0|0|0|0|0|0|55|100|100|45|100|100|25|50|75|5|15|30|70|78.5|100||3.2|||12.4|||20.6|||27.1|||15.2||0|16.5|29|||||||0|5|15||||0|0.5|1||||1.3|1.4|1.5|||||1.46|||42|92|141|0.04|0.09|0.13||18.5|||12.7|||3.8|||45||0|1.5|2.9|0|7|14|0|0|0|0|0|0|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|0|2.7|8.1|||||||4.5|5.8|7.3|||||||||||||||||||||||||||||||||"12297318"|"35124835"
"H1"||"H"||1||0|||30|||||0|0|0|0|0|0|85|100|100|75|100|100|45|90|95|25|75|80|15|32.1|50||2.9|||4|||5.4|||9.9|||9.9||50|55.9|80|||||||0|12|17||||2|6|10||||1.1|1.25|1.4|||||1.31|||4|23|42|0.12|0.18|0.24|||||28.4|||13.1|||48||0|1.5|2.9|0|12.5|25|0|2|4|0|0|1|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|0|6.7|9.5|||||||4.5|5.6|7.3|||||||||||||||||||||||||||||||||"12297318"|"35124836"
"H2"||"H"||2||30|||86|||||0|0|0|0|0|0|85|100|100|75|100|100|45|90|95|25|60|75|32|45|85||4.5|||6.1|||8|||13.8|||12.6||0|43|50|||||||0|12|17||||0|1|2||||1.15|1.3|1.45|||||1.36|||4|23|42|0.12|0.17|0.22|||||23.3|||7.5|||48||0|1.5|2.9|0|7.5|15|0|2|4|0|0|0|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|0|6.5|9.2|||||||4.5|5.6|7.3|||||||||||||||||||||||||||||||||"12297318"|"35124837"
"C"||"C"||||86|||99|||||0|0|0|0|0|0|55|100|100|45|100|100|30|90|90|15|60|75|32|45|85||4.5|||6.1|||8|||13.8|||12.6||0|43|50|||||||0|12|17||||0|0.5|1||||1.3|1.3|1.5|||||1.36|||4|23|42|0.1|0.12|0.16|||||22.6|||6.9|||48||0|1.5|2.9|0|7|14|0|0|0|0|0|0|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|0|6.4|9.1|||||||4.5|5.8|7.3|||||||||||||||||||||||||||||||||"12297318"|"35124838"
"H2"||"O"||2||23|||112|||||0|0|0|0|0|0|100|100|100|100|100|100|90|95|100|85|95|100|0|70|100|||||||||||||||||30|||||||||10|||||70|90|100||||0.1|0.2|0.3|||||||1.5|1.4|21.7|42|0.2|0.5|0.65||||40|80|100|5|30|50||||0|0|2.9||||||||||||0|0|0|0|0|0|0|0|0|0|0|0||||36.4|51.3|142.2||||4.5|4.8|6.5|4.5|4.8|6.5||||||||||||||||||||||||||||||"12297328"|"35124839"
"H3"||"H"||3||112|||183|||||0|0|0|0|0|5|85|90|100|75|85|100|55|60|100|35|40|95|0|68.5|85||0.3|||4.7|||15.2|||29.8|||18.5||0|21.5|80|||||||0|10|34||||0|1|2||||1.5|1.6|1.7|||||1.68|||1.4|7.7|14|0.06|0.11|0.16|||||16.7|||7.9|||34||0|1.5|2.9|0|20|40|0|10|20|0|0|20|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|0|7.7|17.7|||||||5.1|6.2|7.3|5.1|6.2|7.3||||||||||||||||||||||||||||||"12297328"|"35124840"
"H1"||"O"||1||0|||23|||||0|0|0|0|0|0|100|100|100|100|100|100|90|95|100|85|95|100|0|70|100|||||||||||||||||30|||||||||10|||||70|90|100||||0.1|0.2|0.3|||||||1.5|1.4|21.7|42|0.2|0.35|0.5||||40|80|100|5|30|50||||0|0|2.9||||||||||||0|0|0|0|0|0|0|0|0|0|0|0||||20.9|45.9|142.2||||3.5|4.6|6.5|3.5|4.6|6.5||||||||||||||||||||||||||||||"12297328"|"35124841"
