0|0|0|0|15|30||"128697049"|"78229959"
0|15|30|183|183|183|"Wet"|"128697049"|"78229960"
0|0|0|0|15|30||"128697048"|"78229785"
0|15|30|183|183|183|"Wet"|"128697048"|"78229786"
0|0|0|0|0|30||"128697047"|"78230079"
0|0|30|183|183|183|"Wet"|"128697047"|"78230080"
0|0|0|0|0|30||"128697044"|"78229567"
0|0|30|183|183|183|"Wet"|"128697044"|"78229568"
0|0|0|0|0|30||"128697043"|"78229565"
0|0|30|183|183|183|"Wet"|"128697043"|"78229566"
0|0|0|0|15|30||"128697042"|"78229563"
0|15|30|183|183|183|"Wet"|"128697042"|"78229564"
0|0|0|0|0|30||"128697040"|"78230077"
0|0|30|183|183|183|"Wet"|"128697040"|"78230078"
0|0|0|0|15|30||"128696929"|"78229783"
0|15|30|183|183|183|"Wet"|"128696929"|"78229784"
0|0|0|0|15|30||"128696928"|"78229957"
0|15|30|183|183|183|"Wet"|"128696928"|"78229958"
0|0|0|0|0|30||"128696927"|"78229955"
0|0|30|183|183|183|"Wet"|"128696927"|"78229956"
0|0|0|0|0|30||"128696924"|"78229781"
0|0|30|183|183|183|"Wet"|"128696924"|"78229782"
0|0|0|0|0|30||"128696923"|"78230075"
0|0|30|183|183|183|"Wet"|"128696923"|"78230076"
0|0|0|0|15|30||"128696922"|"78229779"
0|15|30|183|183|183|"Wet"|"128696922"|"78229780"
0|0|0|0|0|30||"128696920"|"78229561"
0|0|30|183|183|183|"Wet"|"128696920"|"78229562"
0|0|0|15|20|46||"128696751"|"78229464"
15|20|46|183|183|183|"Wet"|"128696751"|"78229465"
0|0|0|15|20|46||"128696750"|"78229341"
15|20|46|183|183|183|"Wet"|"128696750"|"78229342"
0|0|0|15|20|46||"128696744"|"78229941"
15|20|46|183|183|183|"Wet"|"128696744"|"78229942"
0|0|0|15|20|46||"128696743"|"78229939"
15|20|46|183|183|183|"Wet"|"128696743"|"78229940"
0|0|0|15|20|46||"128696742"|"78229753"
15|20|46|183|183|183|"Wet"|"128696742"|"78229754"
0|0|0|15|20|46||"128696741"|"78230045"
15|20|46|183|183|183|"Wet"|"128696741"|"78230046"
0|0|0|15|20|46||"128696740"|"78229751"
15|20|46|183|183|183|"Wet"|"128696740"|"78229752"
0|0|0|0|0|30||"128696739"|"78229361"
0|0|30|183|183|183|"Wet"|"128696739"|"78229362"
0|0|0|0|7|30||"128696738"|"78229677"
0|7|30|183|183|183|"Wet"|"128696738"|"78229678"
0|0|0|0|15|30||"128696737"|"78229359"
