"A-4"|"Yes"|"35125473"|"57414113"
"A-2"|"No "|"35125473"|"57414114"
"A-2"|"No "|"35125474"|"57414115"
"A-4"|"No "|"35125474"|"57414116"
"A-2-4"|"Yes"|"35125474"|"57414117"
"A-2-4"|"Yes"|"35125475"|"57414118"
"A-1"|"No "|"35125475"|"57414119"
"A-2"|"No "|"35125475"|"57414120"
"A-1-b"|"No "|"35125475"|"57414121"
"A-8"|"Yes"|"35125476"|"57414913"
"A-1-b"|"Yes"|"35125477"|"57414122"
"A-4"|"No "|"35125477"|"57414123"
"A-2"|"No "|"35125477"|"57414124"
"A-2-4"|"No "|"35125477"|"57414125"
"A-1"|"No "|"35125478"|"57414126"
"A-2"|"No "|"35125478"|"57414127"
"A-1-b"|"Yes"|"35125478"|"57414128"
"A-8"|"Yes"|"35125479"|"57414784"
"A-8"|"Yes"|"35125480"|"57414377"
"A-4"|"Yes"|"35125481"|"57414006"
"A-2"|"No "|"35125481"|"57414007"
"A-2"|"No "|"35125482"|"57414008"
"A-4"|"Yes"|"35125482"|"57414009"
"A-4"|"No "|"35125483"|"57414500"
"A-2"|"No "|"35125483"|"57414501"
"A-2-4"|"Yes"|"35125483"|"57414502"
"A-2"|"No "|"35125484"|"57414270"
"A-4"|"Yes"|"35125484"|"57414271"
"A-2"|"No "|"35125485"|"57414498"
"A-4"|"Yes"|"35125485"|"57414499"
"A-4"|"Yes"|"35125486"|"57414273"
"A-4"|"Yes"|"35125487"|"57414011"
"A-4"|"Yes"|"35125488"|"57414503"
"A-4"|"Yes"|"35125489"|"57414504"
"A-4"|"No "|"35125490"|"57414505"
"A-2"|"Yes"|"35125490"|"57414506"
"A-8"|"Yes"|"35125491"|"57414272"
"A-8"|"Yes"|"35125492"|"57414010"
"A-2"|"No "|"35125493"|"57414507"
"A-4"|"No "|"35125493"|"57414508"
"A-1"|"Yes"|"35125493"|"57414509"
"A-4"|"No "|"35125494"|"57414012"
"A-1"|"Yes"|"35125494"|"57414013"
"A-2"|"No "|"35125494"|"57414014"
"A-4"|"No "|"35125495"|"57414274"
"A-1"|"Yes"|"35125495"|"57414275"
"A-2"|"No "|"35125495"|"57414276"
"A-8"|"Yes"|"35125497"|"57414277"
"A-8"|"Yes"|"35125498"|"57414129"
"A-4"|"No "|"35125499"|"57414130"
"A-2"|"Yes"|"35125499"|"57414131"
"A-2"|"No "|"35125500"|"57414132"
"A-4"|"Yes"|"35125500"|"57414133"
"A-2"|"No "|"35125501"|"57414134"
"A-4"|"Yes"|"35125501"|"57414135"
"A-4"|"Yes"|"35125502"|"57414278"
"A-2"|"No "|"35125502"|"57414279"
"A-2"|"Yes"|"35125503"|"57414015"
"A-4"|"No "|"35125503"|"57414016"
"A-1"|"No "|"35125504"|"57414514"
"A-2"|"Yes"|"35125504"|"57414515"
"A-1"|"Yes"|"35125505"|"57414516"
"A-2"|"No "|"35125505"|"57414517"
"A-2"|"No "|"35125472"|"57414110"
"A-4"|"No "|"35125472"|"57414111"
"A-2-4"|"Yes"|"35125472"|"57414112"
"A-4"|"Yes"|"35125471"|"57414004"
"A-2"|"No "|"35125471"|"57414005"
"A-2"|"No "|"35125470"|"57414268"
"A-4"|"Yes"|"35125470"|"57414269"
"A-4"|"Yes"|"35125469"|"57414002"
"A-2"|"No "|"35125469"|"57414003"
"A-1"|"No "|"35125468"|"57413993"
"A-2"|"No "|"35125468"|"57413994"
"A-3"|"Yes"|"35125468"|"57413995"
"A-2"|"No "|"35125467"|"57414492"
"A-3"|"Yes"|"35125467"|"57414493"
"A-1"|"No "|"35125467"|"57414494"
"A-2"|"Yes"|"35125466"|"57414490"
"A-3"|"No "|"35125466"|"57414491"
"A-2"|"Yes"|"35125465"|"57414487"
"A-4"|"No "|"35125465"|"57414488"
"A-3"|"No "|"35125465"|"57414489"
"A-2"|"No "|"35125464"|"57414484"
"A-3"|"Yes"|"35125464"|"57414485"
"A-4"|"No "|"35125464"|"57414486"
"A-8"|"Yes"|"35125463"|"57413992"
"A-8"|"Yes"|"35125462"|"57414261"
"A-8"|"Yes"|"35125461"|"57414258"
"A-1"|"Yes"|"35125460"|"57413990"
"A-2"|"No "|"35125460"|"57413991"
"A-1"|"No "|"35125459"|"57414259"
"A-2"|"Yes"|"35125459"|"57414260"
"A-2"|"No "|"35125458"|"57414108"
"A-4"|"Yes"|"35125458"|"57414109"
"A-2"|"No "|"35125457"|"57414106"
"A-4"|"Yes"|"35125457"|"57414107"
"A-2"|"No "|"35125456"|"57414104"
"A-4"|"Yes"|"35125456"|"57414105"
"A-2"|"No "|"35125455"|"57414102"
"A-4"|"Yes"|"35125455"|"57414103"
"A-8"|"Yes"|"35125454"|"57414480"
"A-2"|"Yes"|"35125452"|"57413988"
"A-4"|"No "|"35125452"|"57413989"
"A-4"|"Yes"|"35125451"|"57414256"
"A-2"|"No "|"35125451"|"57414257"
"A-2"|"No "|"35125450"|"57413986"
"A-4"|"Yes"|"35125450"|"57413987"
"A-2"|"No "|"35125449"|"57414254"
"A-4"|"Yes"|"35125449"|"57414255"
"A-4"|"No "|"35125448"|"57414482"
"A-2"|"Yes"|"35125448"|"57414483"
"A-8"|"Yes"|"35125447"|"57414481"
"A-4"|"No "|"35125446"|"57414251"
"A-1"|"Yes"|"35125446"|"57414252"
"A-2"|"No "|"35125446"|"57414253"
"A-4"|"No "|"35125445"|"57413983"
"A-1"|"Yes"|"35125445"|"57413984"
"A-2"|"No "|"35125445"|"57413985"
"A-2"|"No "|"35125444"|"57414248"
"A-4"|"No "|"35125444"|"57414249"
"A-1"|"Yes"|"35125444"|"57414250"
