"not used"|"12297742"|"8451036"
"not used"|"12297743"|"8451037"
"not used"|"12297758"|"8451038"
"not used"|"12297759"|"8451039"
"not used"|"12297733"|"8451035"
"not used"|"12297732"|"8451034"
"not used"|"12297725"|"8451033"
"not used"|"12297724"|"8451032"
"not used"|"12297717"|"8451031"
"not used"|"12297716"|"8451030"
"not used"|"12297708"|"8451029"
"not used"|"12297707"|"8451028"
"not used"|"12297699"|"8451027"
"not used"|"12297698"|"8451026"
"not used"|"12297690"|"8451025"
"not used"|"12297689"|"8451024"
"not used"|"12297682"|"8451023"
"not used"|"12297681"|"8451022"
"not used"|"12297680"|"8451021"
"not used"|"12297675"|"8451020"
"not used"|"12297674"|"8451019"
"not used"|"12297666"|"8451018"
"not used"|"12297665"|"8451017"
"not used"|"12297654"|"8451016"
"not used"|"12297653"|"8451015"
"not used"|"12297651"|"8451014"
"not used"|"12297650"|"8451013"
"not used"|"12297634"|"8451012"
"not used"|"12297633"|"8451011"
"not used"|"12297632"|"8451010"
"not used"|"12297631"|"8451009"
"not used"|"12297622"|"8451008"
"not used"|"12297621"|"8451007"
"not used"|"12297620"|"8451006"
"not used"|"12297608"|"8451005"
"not used"|"12297607"|"8451004"
"not used"|"12297595"|"8451003"
"not used"|"12297594"|"8451002"
"not used"|"12297585"|"8451001"
"not used"|"12297584"|"8451000"
"not used"|"12297515"|"8450989"
"not used"|"12297514"|"8450988"
"not used"|"12297915"|"8451095"
"not used"|"12297914"|"8451094"
"not used"|"12297913"|"8451093"
"not used"|"12297912"|"8451092"
"not used"|"12297911"|"8451091"
"not used"|"12297910"|"8451090"
"not used"|"12297909"|"8451089"
"not used"|"12297908"|"8451088"
"not used"|"12297898"|"8451087"
"not used"|"12297897"|"8451086"
"not used"|"12297896"|"8451085"
"not used"|"12297895"|"8451084"
"not used"|"12297894"|"8451083"
"not used"|"12297893"|"8451082"
"not used"|"12297892"|"8451081"
"not used"|"12297891"|"8451072"
"not used"|"12297890"|"8451071"
"not used"|"12297889"|"8451070"
"not used"|"12297888"|"8451069"
"not used"|"12297887"|"8451068"
"not used"|"12297886"|"8451067"
"not used"|"12297932"|"8451099"
"not used"|"12297930"|"8451098"
"not used"|"12297929"|"8451110"
"not used"|"12297928"|"8451109"
"not used"|"12297927"|"8451108"
"not used"|"12297926"|"8451107"
"not used"|"12297925"|"8451106"
"not used"|"12297907"|"8451080"
"not used"|"12297905"|"8451079"
"not used"|"12297904"|"8451078"
"not used"|"12297903"|"8451077"
"not used"|"12297902"|"8451076"
"not used"|"12297901"|"8451075"
"not used"|"12297900"|"8451074"
"not used"|"12297899"|"8451073"
"not used"|"12297924"|"8451105"
"not used"|"12297923"|"8451104"
"not used"|"12297922"|"8451103"
"not used"|"12297921"|"8451102"
"not used"|"12297920"|"8451101"
"not used"|"12297919"|"8451100"
"not used"|"12297918"|"8451097"
"not used"|"12297916"|"8451096"
"not used"|"12297508"|"8450987"
"not used"|"12297507"|"8450986"
"not used"|"12297506"|"8450985"
"not used"|"12297498"|"8450984"
"not used"|"12297497"|"8450983"
"not used"|"12297496"|"8450982"
"not used"|"12297481"|"8450979"
"not used"|"12297480"|"8450978"
"not used"|"12297473"|"8450977"
"not used"|"12297466"|"8450976"
"not used"|"12297448"|"8450973"
"not used"|"12297447"|"8450972"
"not used"|"12297446"|"8450971"
"not used"|"12297438"|"8450970"
"not used"|"12297437"|"8450969"
"not used"|"12297436"|"8450968"
"not used"|"12297429"|"8450967"
"not used"|"12297428"|"8450966"
"not used"|"12297427"|"8450965"
"not used"|"12297420"|"8450964"
"not used"|"12297419"|"8450963"
"not used"|"12297418"|"8450962"
"not used"|"12297410"|"8450961"
"not used"|"12297409"|"8450960"
"not used"|"12297404"|"8450959"
"not used"|"12297403"|"8450958"
"not used"|"12297392"|"8450957"
"not used"|"12297391"|"8450956"
"not used"|"12297379"|"8450955"
"not used"|"12297378"|"8450954"
"not used"|"12297377"|"8450953"
"not used"|"12297363"|"8450952"
"not used"|"12297362"|"8450951"
"not used"|"12297354"|"8450950"
"not used"|"12297348"|"8450949"
"not used"|"12297330"|"8450946"
"not used"|"12297329"|"8450945"
"not used"|"12297328"|"8450944"
"not used"|"12297318"|"8450943"
"not used"|"12297317"|"8450942"
"not used"|"12297316"|"8450941"
"not used"|"12297307"|"8450940"
"not used"|"12297306"|"8450939"
"not used"|"12297338"|"8450948"
"not used"|"12297337"|"8450947"
"not used"|"12297773"|"8451040"
"not used"|"12297774"|"8451041"
"not used"|"12297781"|"8451042"
"not used"|"12297782"|"8451043"
"not used"|"12297783"|"8451044"
"not used"|"12297793"|"8451045"
"not used"|"12297794"|"8451046"
"not used"|"12297795"|"8451047"
"not used"|"12297802"|"8451048"
"not used"|"12297803"|"8451049"
"not used"|"12297819"|"8451050"
"not used"|"12297820"|"8451051"
"not used"|"12297822"|"8451052"
"not used"|"12297823"|"8451053"
"not used"|"12297833"|"8451054"
"not used"|"12297834"|"8451055"
"not used"|"12297838"|"8451056"
"not used"|"12297839"|"8451057"
"not used"|"12297850"|"8451058"
"not used"|"12297851"|"8451059"
"not used"|"12297866"|"8451060"
"not used"|"12297867"|"8451061"
"not used"|"12297871"|"8451062"
"not used"|"12297872"|"8451063"
"not used"|"12297880"|"8451064"
"not used"|"12297881"|"8451065"
